Event_ID,Age,Uncertainty,StratRelation,Polarity,Source Paper,Method,,,
bs3,-9999,-9999,NA,NA,,,,,
bs2,-9999,-9999,NA,NA,,,,,
br1,-9999,-9999,NA,NA,,,,,
bl2,-9999,-9999,NA,NA,,,,,
bl20,-9999,-9999,NA,NA,,,,,
bl30,-9999,-9999,NA,NA,,,,,
b18,-9999,-9999,NA,NA,,,,,
mlc,-9999,-9999,NA,NA,,,,,
bl32,-9999,-9999,NA,NA,,,,,
bl18,-9999,-9999,NA,NA,,,,,
bg1,-9999,-9999,NA,NA,,,,,
bg2,-9999,-9999,NA,NA,,,,,
beb2,-9999,-9999,NA,NA,,,,,
beb3,-9999,-9999,NA,NA,,,,,
beb1,-9999,-9999,NA,NA,,,,,
mee2,-9999,-9999,NA,NA,,,,,
mes,-9999,-9999,NA,NA,,,,,
mcn6,-9999,-9999,NA,NA,,,,,
mcr,-9999,-9999,NA,NA,,,,,
mcn3,-9999,-9999,NA,NA,,,,,
mcn8,-9999,-9999,NA,NA,,,,,
mcn2,-9999,-9999,NA,NA,,,,,
mcn4,-9999,-9999,NA,NA,,,,,
mcn1,-9999,-9999,NA,NA,,,,,
mcn5,-9999,-9999,NA,NA,,,,,
bcs,-9999,-9999,NA,NA,,,,,
mdn4,-9999,-9999,NA,NA,,,,,
mch,-9999,-9999,NA,NA,,,,,
mc71,-9999,-9999,NA,NA,,,,,
bci,-9999,-9999,NA,NA,,,,,
mc10,-9999,-9999,NA,NA,,,,,
mc11,-9999,-9999,NA,NA,,,,,
mcn7,-9999,-9999,NA,NA,,,,,
mc9,-9999,-9999,NA,NA,,,,,
mcj,-9999,-9999,NA,NA,,,,,
mce,-9999,-9999,NA,NA,,,,,
mc7,-9999,-9999,NA,NA,,,,,
mc6,-9999,-9999,NA,NA,,,,,
mc5,-9999,-9999,NA,NA,,,,,
mc4,-9999,-9999,NA,NA,,,,,
mc3,-9999,-9999,NA,NA,,,,,
mc2,-9999,-9999,NA,NA,,,,,
mc1,-9999,-9999,NA,NA,,,,,
bcw,-9999,-9999,NA,NA,,,,,
mt20,-9999,-9999,NA,NA,,,,,
bcp,-9999,-9999,NA,NA,,,,,
bcb,-9999,-9999,NA,NA,,,,,
bss2,-9999,-9999,NA,NA,,,,,
bsb,-9999,-9999,NA,NA,,,,,
bbp,-9999,-9999,NA,NA,,,,,
bbh,-9999,-9999,NA,NA,,,,,
bbb,-9999,-9999,NA,NA,,,,,
bnt,-9999,-9999,NA,NA,,,,,
bs1,-9999,-9999,NA,NA,,,,,
